Timestep,Living Population,Active Infections,Economic Productivity,Population Change
848,80653,2225,4758.191814477619,12
849,80675,2221,4755.516380031494,22
850,80708,2220,4754.469930167897,33
851,80731,2233,4751.521323042661,23
852,80746,2227,4753.062714384193,15
853,80761,2207,4749.900170193601,15
854,80782,2207,4746.2240486709825,21
855,80795,2170,4748.8417442196505,13
856,80807,2169,4746.564151911903,12
857,80815,2166,4746.093494158353,8
858,80840,2167,4747.424880588188,25
859,80855,2157,4743.507742066205,15
860,80870,2148,4742.11373503165,15
861,80890,2157,4742.550755456218,20
862,80908,2158,4740.524288479305,18
863,80932,2138,4741.116378828465,24
864,80948,2119,4741.078998306864,16
865,80967,2115,4742.419348605311,19
866,80977,2080,4741.9766013874505,10
867,80995,2071,4745.342157237441,18
868,81000,2061,4743.376398575135,5
869,81014,2067,4745.294212568782,14
870,81036,2051,4744.605459554299,22
871,81054,2059,4741.408421080339,18
872,81072,2054,4744.4710030073375,18
873,81087,2071,4742.835966961307,15
874,81109,2067,4747.957180170627,22
875,81118,2058,4751.479171040131,9
876,81139,2030,4755.427149223467,21
877,81158,2033,4758.792072781118,19
878,81178,2003,4762.381237792774,20
879,81202,2015,4766.796020143767,24
880,81212,1977,4769.90849133159,10
881,81235,1951,4774.039706165267,23
882,81254,1956,4774.435276520449,19
883,81271,1939,4775.575607242434,17
884,81285,1941,4774.172271139638,14
885,81297,1922,4777.953105750433,12
886,81324,1902,4782.843892681484,27
887,81348,1893,4785.610965296959,24
888,81367,1906,4786.821439227643,19
889,81380,1921,4788.404857305571,13
890,81393,1920,4789.641535681502,13
891,81415,1898,4792.435051098375,22
892,81427,1897,4796.112601822452,12
893,81442,1890,4797.026824431059,15
894,81466,1914,4799.4414214263015,24
895,81485,1920,4804.977581464861,19
896,81511,1932,4809.788595722012,26
897,81540,1935,4812.93746800742,29
898,81556,1918,4816.442787014422,16
899,81578,1926,4821.342356719729,22
900,81593,1923,4823.795742657127,15
901,81607,1933,4831.170505395048,14
902,81629,1942,4834.516307683218,22
903,81635,1935,4840.091870597645,6
904,81668,1945,4841.644389257642,33
905,81683,1923,4844.804766576612,15
